1723789710.447332 client started (81265): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1723789710.447480 on Darwin 23.5.0 Darwin Kernel Version 23.5.0: Wed May  1 20:14:38 PDT 2024; root:xnu-10063.121.3~5/RELEASE_ARM64_T6020
1723789710.447816 using libevent 2.1.12-stable (select); utf8proc 2.9.0; ncurses 6.4
1723789710.451359 sending message 112 to peer 0x120008000 (12 bytes)
1723789710.451362 sending message 112 to peer 0x120008000 (12 bytes)
1723789710.451365 sending message 112 to peer 0x120008000 (12 bytes)
1723789710.451367 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451370 sending message 112 to peer 0x120008000 (8 bytes)
1723789710.451372 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451375 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451377 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451380 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451383 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451385 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451388 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451390 sending message 112 to peer 0x120008000 (12 bytes)
1723789710.451393 sending message 112 to peer 0x120008000 (12 bytes)
1723789710.451396 sending message 112 to peer 0x120008000 (12 bytes)
1723789710.451398 sending message 112 to peer 0x120008000 (8 bytes)
1723789710.451401 sending message 112 to peer 0x120008000 (12 bytes)
1723789710.451403 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451406 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451408 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451411 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451419 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451422 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451425 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451427 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451430 sending message 112 to peer 0x120008000 (12 bytes)
1723789710.451432 sending message 112 to peer 0x120008000 (10 bytes)
1723789710.451435 sending message 112 to peer 0x120008000 (12 bytes)
1723789710.451438 sending message 112 to peer 0x120008000 (12 bytes)
1723789710.451440 sending message 112 to peer 0x120008000 (12 bytes)
1723789710.451443 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451445 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451448 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451450 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451453 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451455 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451458 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451461 sending message 112 to peer 0x120008000 (10 bytes)
1723789710.451463 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451466 sending message 112 to peer 0x120008000 (12 bytes)
1723789710.451468 sending message 112 to peer 0x120008000 (12 bytes)
1723789710.451471 sending message 112 to peer 0x120008000 (12 bytes)
1723789710.451474 sending message 112 to peer 0x120008000 (10 bytes)
1723789710.451476 sending message 112 to peer 0x120008000 (10 bytes)
1723789710.451479 sending message 112 to peer 0x120008000 (10 bytes)
1723789710.451481 sending message 112 to peer 0x120008000 (12 bytes)
1723789710.451484 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451486 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451489 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451492 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451494 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451497 sending message 112 to peer 0x120008000 (11 bytes)
1723789710.451499 sending message 112 to peer 0x120008000 (11 bytes)
1723789710.451502 sending message 112 to peer 0x120008000 (12 bytes)
1723789710.451504 sending message 112 to peer 0x120008000 (12 bytes)
1723789710.451507 sending message 112 to peer 0x120008000 (12 bytes)
1723789710.451510 sending message 112 to peer 0x120008000 (12 bytes)
1723789710.451512 sending message 112 to peer 0x120008000 (12 bytes)
1723789710.451515 sending message 112 to peer 0x120008000 (11 bytes)
1723789710.451517 sending message 112 to peer 0x120008000 (12 bytes)
1723789710.451520 sending message 112 to peer 0x120008000 (12 bytes)
1723789710.451522 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451525 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451527 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451530 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451533 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451535 sending message 112 to peer 0x120008000 (10 bytes)
1723789710.451538 sending message 112 to peer 0x120008000 (9 bytes)
1723789710.451540 sending message 112 to peer 0x120008000 (12 bytes)
1723789710.451543 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451545 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451548 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451552 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451555 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451558 sending message 112 to peer 0x120008000 (9 bytes)
1723789710.451560 sending message 112 to peer 0x120008000 (12 bytes)
1723789710.451563 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451565 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451568 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451570 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451573 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451580 sending message 112 to peer 0x120008000 (11 bytes)
1723789710.451583 sending message 112 to peer 0x120008000 (12 bytes)
1723789710.451586 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451588 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451591 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451593 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451596 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451598 sending message 112 to peer 0x120008000 (11 bytes)
1723789710.451601 sending message 112 to peer 0x120008000 (12 bytes)
1723789710.451604 sending message 112 to peer 0x120008000 (12 bytes)
1723789710.451606 sending message 112 to peer 0x120008000 (12 bytes)
1723789710.451609 sending message 112 to peer 0x120008000 (12 bytes)
1723789710.451611 sending message 112 to peer 0x120008000 (12 bytes)
1723789710.451614 sending message 112 to peer 0x120008000 (21 bytes)
1723789710.451617 sending message 112 to peer 0x120008000 (12 bytes)
1723789710.451619 sending message 112 to peer 0x120008000 (9 bytes)
1723789710.451622 sending message 112 to peer 0x120008000 (6 bytes)
1723789710.451624 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451627 sending message 112 to peer 0x120008000 (8 bytes)
1723789710.451630 sending message 112 to peer 0x120008000 (15 bytes)
1723789710.451632 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451635 sending message 112 to peer 0x120008000 (9 bytes)
1723789710.451637 sending message 112 to peer 0x120008000 (70 bytes)
1723789710.451640 sending message 112 to peer 0x120008000 (69 bytes)
1723789710.451642 sending message 112 to peer 0x120008000 (10 bytes)
1723789710.451645 sending message 112 to peer 0x120008000 (10 bytes)
1723789710.451648 sending message 112 to peer 0x120008000 (8 bytes)
1723789710.451650 sending message 112 to peer 0x120008000 (15 bytes)
1723789710.451653 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451655 sending message 112 to peer 0x120008000 (10 bytes)
1723789710.451658 sending message 112 to peer 0x120008000 (10 bytes)
1723789710.451660 sending message 112 to peer 0x120008000 (17 bytes)
1723789710.451663 sending message 112 to peer 0x120008000 (10 bytes)
1723789710.451666 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451668 sending message 112 to peer 0x120008000 (9 bytes)
1723789710.451671 sending message 112 to peer 0x120008000 (5 bytes)
1723789710.451673 sending message 112 to peer 0x120008000 (15 bytes)
1723789710.451677 sending message 104 to peer 0x120008000 (0 bytes)
1723789710.451680 sending message 110 to peer 0x120008000 (0 bytes)
1723789710.451682 sending message 107 to peer 0x120008000 (4 bytes)
1723789710.451686 sending message 105 to peer 0x120008000 (64 bytes)
1723789710.451689 sending message 105 to peer 0x120008000 (56 bytes)
1723789710.451691 sending message 105 to peer 0x120008000 (14 bytes)
1723789710.451694 sending message 105 to peer 0x120008000 (52 bytes)
1723789710.451697 sending message 105 to peer 0x120008000 (23 bytes)
1723789710.451699 sending message 105 to peer 0x120008000 (16 bytes)
1723789710.451702 sending message 105 to peer 0x120008000 (21 bytes)
1723789710.451704 sending message 105 to peer 0x120008000 (27 bytes)
1723789710.451707 sending message 105 to peer 0x120008000 (37 bytes)
1723789710.451709 sending message 105 to peer 0x120008000 (30 bytes)
1723789710.451712 sending message 105 to peer 0x120008000 (34 bytes)
1723789710.451715 sending message 105 to peer 0x120008000 (60 bytes)
1723789710.451717 sending message 105 to peer 0x120008000 (15 bytes)
